n,s_n,term,width,height,aspect,left,right,bottom,top
144,7.779004502,0.420228548887,7.448669925,7.779004502,0.957535109,1,1,1,2
145,7.795334487,0.419084412207,7.662967609,7.795334487,0.983019731,1,1,1,2
146,7.797625086,0.416458609443,7.729660719,7.797625086,0.991283966,1,1,1,2
147,7.796462943,0.413502275003,7.730492442,7.796462943,0.991538406,1,1,1,2
148,7.815510766,0.412717625196,7.766099843,7.815510766,0.993677838,1,1,1,2
149,7.848422618,0.413407634863,7.847738346,7.848422618,0.999912814,1,1,1,1
150,7.804553445,0.406073696457,7.726867561,7.804553445,0.990046082,1,1,1,2
151,7.804846978,0.403414810307,7.706912861,7.804846978,0.987452141,1,1,2,3
152,7.804846978,0.400760765502,7.725231603,7.804846978,0.989799239,1,1,3,3
153,8.001191404,0.418425254090,8.000890058,8.001191404,0.999962337,1,1,1,1
154,8.004380030,0.416039608220,8.004380030,8.003710821,1.000083612,1,1,1,1
155,8.055520310,0.418654241690,8.042078220,8.055520310,0.998331319,1,1,2,1
156,8.125000809,0.423177167615,8.015032659,8.125000809,0.986465460,1,1,2,1
157,8.159436336,0.424053511647,8.135625999,8.159436336,0.997081865,1,1,1,2
158,8.176088140,0.423091248518,8.037789692,8.176088140,0.983085010,1,1,2,1
159,8.189102820,0.421769842739,8.188812524,8.189102820,0.999964551,1,1,1,1
160,8.202800459,0.420537096064,8.184694050,8.202800459,0.997792655,1,1,5,1
161,8.206278850,0.418279581176,8.128651201,8.206278850,0.990540457,1,1,1,3
162,8.206282088,0.415697936501,8.138057786,8.206282088,0.991686332,1,1,2,7
163,8.206282088,0.413147642412,8.138057786,8.206282088,0.991686332,1,1,3,7
164,8.206282088,0.410628449471,8.138057786,8.206282088,0.991686332,1,1,4,7
165,8.206282088,0.408139792201,8.138057786,8.206282088,0.991686332,1,1,5,7
166,8.206282170,0.405681126862,8.133148293,8.206282170,0.991088062,1,1,3,1
167,8.206282164,0.403251897967,8.124783510,8.206282164,0.990068748,1,1,5,1
168,8.206282088,0.400851581626,8.187034207,8.206282088,0.997654494,1,1,8,8
169,8.214482318,0.399276448283,8.214482318,8.213810487,1.000081793,1,1,1,1
170,8.265109534,0.401835503614,8.265109534,8.264945129,1.000019892,1,1,1,1
171,8.266849574,0.399653812141,8.266849574,8.265453957,1.000168849,1,1,1,1
172,8.304075866,0.400916720815,8.301440547,8.304075866,0.999682648,1,1,1,2
173,8.320938034,0.400219709641,8.320938034,8.320762342,1.000021115,1,1,1,1
174,8.430150385,0.408433537422,8.305232172,8.430150385,0.985181971,1,1,1,2
175,8.468730677,0.409825138731,8.312511061,8.468730677,0.981553361,1,1,1,2
176,8.524969302,0.412926713607,8.306964619,8.524969302,0.974427511,1,1,2,2
177,8.499981526,0.408190316030,8.496532286,8.499981526,0.999594206,1,1,1,2
178,8.607014530,0.416183702916,8.430191724,8.607014530,0.979455965,1,1,2,1
179,8.571137915,0.410415671292,8.383040192,8.571137915,0.978054521,1,1,2,3
180,8.571137915,0.408135584229,8.375642068,8.571137915,0.977191378,1,1,2,3
181,8.683529924,0.416594983133,8.436602034,8.683529924,0.971563651,1,1,2,1
182,8.571137915,0.403650577809,8.356031921,8.571137915,0.974903450,1,1,3,3
183,8.687860084,0.412453075596,8.607950731,8.687860084,0.990802182,1,1,1,2
184,8.783357037,0.419279134985,8.781458033,8.783357037,0.999783795,1,1,1,1
185,8.782771648,0.416957177425,8.780830956,8.782771648,0.999779034,1,1,1,1
186,8.826671888,0.418871702293,8.673422358,8.826671888,0.982637903,1,1,1,2
187,8.882414769,0.421910653100,8.882414769,8.882251519,1.000018379,1,1,1,1
188,8.895250988,0.420880266675,8.895205023,8.895250988,0.999994833,1,1,1,1
189,8.894705668,0.418602057746,8.894705668,8.894543984,1.000018178,1,1,1,1
190,8.923711693,0.419119107244,8.911297972,8.923711693,0.998608906,1,1,1,2
191,8.930889143,0.417595711419,8.926589777,8.930889143,0.999518596,1,1,1,2
192,8.918087265,0.414230627419,8.918087265,8.917756164,1.000037128,1,1,1,1
193,8.970247720,0.416918881668,8.970247720,8.970196246,1.000005738,1,1,1,1
194,8.952103768,0.413093617940,8.943153296,8.952103768,0.999000182,1,1,2,1
195,8.953340791,0.411088776028,8.939641097,8.953340791,0.998469879,1,1,2,1
196,8.953001903,0.408960423847,8.928221899,8.953001903,0.997232213,1,1,2,1
197,8.954251490,0.406998069752,8.920922823,8.954251490,0.996277895,1,1,2,1
198,8.954251491,0.404942524035,8.920922823,8.954251491,0.996277895,1,1,1,2
199,8.954283383,0.402910507087,8.945479625,8.954283383,0.999016810,1,1,3,2
200,8.954283383,0.400895954552,8.945479625,8.954283383,0.999016810,1,1,3,2
